Что такое def,а)это обьект принимающий аргументы и возвращающий значения,б)это инструкция,в)это ключевое слово,а)это обьект принимающий аргументы и возвращающий значения
Что такое return,а)говорит что нужно вернуть значение,б)она отнимает значение,в)она присваивает переменные,а)говорит что нужно вернуть значение
Что такое цикл for,а)универсальный и выполняется гораздо быстрее цикла while,б)меньше принимается,в)это проход цикла,а)универсальный и выполняется гораздо быстрее цикла while
Что такое pass в питоне,а)оператор pass является нулевой операцией,б)используется в конце,в)универсальный цикл,а)оператор pass является нулевой операцией
Что такое continue,а)оператор continue начинает следующий проход цикла,б) позволяет прервать цикл,в)запускает цикл for,а)оператор continue начинает следующий проход цикла
Цикл break,а)позволяет прервать цикл при возникновении внешнего фактора,б)это переменное,в)оно сообщает о прервании цикла,а)позволяет прервать цикл при возникновении внешнего фактора
Что такое else,а)она выбирает какие действия следует выполнять,б)это проверка истинности,в)выполняет выражение z,а)она выбирает какие действия следует выполнять
Что такое elife,а)она выбирает какое дейстие следует выполнять,б)короткая строка,в)команда к решению,а)она выбирает какое дейстие следует выполнять
Contextlib,а)позволяет легко и красиво пользоваться синтаксисом,б)это документация,в)это обменн переменныха,а)позволяет легко и красиво пользоваться синтаксисом
Тернарный оператор это,а)это сокращенная форма записи,б)это оператор if,в)это компактный код,а)это сокращенная форма записи
Компания питона,а)Python software foundation,б)Python karpe range,в)Python foundire forniture,а)Python software foundation
Применение питона,а)веб разработка,б)кодерство,в)оператор для связи,а)веб разработка
Что такое автоматизация процессов,а)совокупность методов и средств предназначенная для реализации процессов,б)это права человека,в)это система,а)совокупность методов и средств предназначенная для реализации процессов
Что такое len,а)можно узнать количество символов длину и строки,б)это обьект периметра,в)это функция str,а)можно узнать количество символов длину и строки
Что такое objects,а)обозночает что обьектов может быть несколько,б)это переменная,в)это поток файлов,а)обозночает что обьектов может быть несколько
Разница между a = [1, 2] и b = (1, 2),а)немодифицируемый кортеж,б)прибавление,в)создает его сам,а)немодифицируемый кортеж
Когда используется close,а)в конце исполнения файла,б)можно выводить значение,в)будет напечатан текст,а)в конце исполнения файла
flush это,а)именованная переменная отвечающая за принудительный сброс потока,б)выводит язык в)функция данных,а)именованная переменная отвечающая за принудительный сброс потока
Функция в програмировании,а)это фрагмент програмного кода,б)это ввод данных,в)это переметр и блок данных,а)это фрагмент програмного кода
Расширение файла Python – as,а)Руб,)Print,в)Bool,,а)Руб
